city,site,site_id,文化區,大學畢業率,曾經結婚率,年齡中位數,所得中位數(萬元),六都,外島,18案07逐年降火電,18案08停建煤電廠,18案09拒核食進口,18案10男女結合婚,18案11反同志教育,18案12立同婚專法,18案13國際賽正名,18案14同婚入民法,18案15挺性平教育,18案16廢非核時間,2020韓國瑜得票率,2020蔡英文得票率,2020國民黨不分區,2020民進黨不分區,21案17核四重啟用,21案18禁萊豬進口,21案19公投綁大選,21案20三接出大潭,22複01降公民權齡,2024侯友宜得票率,2024賴清德得票率,2024柯文哲得票率,2024國民黨不分區,2024民進黨不分區,2024民眾黨不分區
臺南市,白河區,臺南市白河區,未定義,0.1546,0.6952,48.4937,53.3,1,0,0.764314105,0.732361963,0.746551171,0.760755509,0.686326034,0.611762426,0.585259038,0.322947326,0.351430593,0.351430593,0.27290483,0.700224905,0.244470032,0.473062239,0.304419164,0.316694034,0.312882765,0.311829135,0.652195444,0.243410648,0.567211386,0.189377965,0.251309604,0.524110141,0.154130289
臺南市,安平區,臺南市安平區,未定義,0.3039,0.6336,40,64.6,1,0,0.771430777,0.742713529,0.758901362,0.697248042,0.658549862,0.620714754,0.502212147,0.348343685,0.359892536,0.359892536,0.319376249,0.64304572,0.272340426,0.380826324,0.397124615,0.403459215,0.411391856,0.401852496,0.572492981,0.277613761,0.479150909,0.24323533,0.285872182,0.422974898,0.208626025
臺南市,安定區,臺南市安定區,未定義,0.2081,0.6684,41,56.3,1,0,0.775488939,0.737834105,0.762848397,0.750908956,0.69922366,0.632847741,0.556600226,0.312611012,0.340798366,0.340798366,0.243821564,0.725091964,0.219514774,0.46862942,0.297137494,0.310493711,0.312693498,0.311384558,0.623723541,0.210930782,0.545894239,0.243174979,0.22829231,0.506030672,0.191562517
臺南市,安南區,臺南市安南區,未定義,0.2441,0.6413,38.0657,56.9,1,0,0.775211834,0.734811958,0.758320106,0.726606184,0.674026605,0.621555976,0.538161248,0.334799123,0.347316604,0.347316604,0.248126491,0.715319918,0.217424846,0.448204627,0.316456492,0.331142179,0.336229789,0.326323902,0.605127508,0.219276864,0.523588259,0.257134877,0.231745787,0.476512541,0.214935967
臺南市,西港區,臺南市西港區,未定義,0.1999,0.6625,42.6062,52.9,1,0,0.78738658,0.75990043,0.75893261,0.755172765,0.678582403,0.611498258,0.568132303,0.323403366,0.339732888,0.339732888,0.218966504,0.752304074,0.203748136,0.500162117,0.266204849,0.282197204,0.283310652,0.27721425,0.633679757,0.198314717,0.583186361,0.218498922,0.214205186,0.540420452,0.171364149
臺南市,佳里區,臺南市佳里區,未定義,0.253,0.6612,41,57.5,1,0,0.793048775,0.756363945,0.768506848,0.746437193,0.693382003,0.629670722,0.547913747,0.321528086,0.343465291,0.343465291,0.258277064,0.709839904,0.23437457,0.461868722,0.311951727,0.328359724,0.330154705,0.328226461,0.605949567,0.232186453,0.539771759,0.228041787,0.246247022,0.503401361,0.182525331
臺南市,官田區,臺南市官田區,未定義,0.2064,0.6774,44,56.3,1,0,0.759985115,0.720491388,0.739836391,0.74393531,0.679770115,0.610027536,0.597953054,0.366039533,0.364413826,0.364413826,0.23238512,0.739606127,0.211538462,0.461463634,0.281667978,0.292737284,0.307581511,0.289063523,0.663126844,0.204232397,0.581839169,0.213928434,0.216695434,0.541267849,0.169621842
臺南市,東山區,臺南市東山區,未定義,0.134,0.7108,48.8694,52.8,1,0,0.776012044,0.740257511,0.740629685,0.776458665,0.707291667,0.623239959,0.559490707,0.301791092,0.331956142,0.331956142,0.304843305,0.665325959,0.271945819,0.448901624,0.336521739,0.349311487,0.34825784,0.340188219,0.636578391,0.269971671,0.545042493,0.184985836,0.278672618,0.500970309,0.150397827
臺南市,東區,臺南市東區,未定義,0.3809,0.6356,40.7499,69.7,1,0,0.765373736,0.740785743,0.758683045,0.695347277,0.662293471,0.630214358,0.482393196,0.346695329,0.367873202,0.367873202,0.358322057,0.602732551,0.306321191,0.346883113,0.439085135,0.450671655,0.458113641,0.448745573,0.541906253,0.313102208,0.454952557,0.231945235,0.321071346,0.391022858,0.198115909
臺南市,南化區,臺南市南化區,未定義,0.1391,0.719,48,52.1,1,0,0.788091603,0.757959815,0.75245098,0.786319955,0.704861111,0.60419092,0.482719223,0.287230905,0.311373708,0.311373708,0.411164581,0.557651588,0.372019078,0.37817965,0.455217391,0.467073703,0.454941228,0.456094364,0.595378691,0.354568855,0.458386958,0.187044187,0.370704846,0.415859031,0.138105727
